,problem,problem_ancient,problem_modern
120,今有积一千五百一十八步、四分步之三。问︰为圆周几何？,今有积一千五百一十八步、四分步之三。问︰为圆周几何？,现在有一个圆有一千五百一十八步加四分之三步的面积。请问圆周是多少？
121,今有积三百步。问︰为圆周几何？,今有积三百步。问︰为圆周几何？,现在圆的面积是三百步，问圆的周长是多少？
122,今有积一百八十六万八百六十七尺。问︰为立方几何？,今有积一百八十六万八百六十七尺。问︰为立方几何？,现在有体积为一百八十六万八百六十七尺的正方体。问︰开立方之后是多少？
123,今有积一千九百五十三尺、八分尺之一。问︰为立方几何？,今有积一千九百五十三尺、八分尺之一。问︰为立方几何？,今有体积一千九百五十三尺外加八分尺之一。问开立方之后是多少？
124,今有积六万三千四百一尺、五百一十二分尺之四百四十七。问︰为立方几何？,今有积六万三千四百一尺、五百一十二分尺之四百四十七。问︰为立方几何？,现在有体积为六万三千四百一尺、五百一十二分尺之四百四十七的立方体。请问开立方之后是多少？
125,又有积一百九十三万七千五百四十一尺、二十七分尺之一十七。问︰为立方几何？,又有积一百九十三万七千五百四十一尺、二十七分尺之一十七。问︰为立方几何？,又有体积一百九十三万七千五百四十一尺、二十七分尺之一十七。问开立方是多少？
126,今有积四千五百尺。问︰为立圆径几何？,今有积四千五百尺。问︰为立圆径几何？,现在有一个体积四千五百尺的球体，问这个物体的直径是多少？
127,又有积一万六千四百四十八亿六千六百四十三万七千五百尺。问︰为立圆径几何？,又有积一万六千四百四十八亿六千六百四十三万七千五百尺。问︰为立圆径几何？,还有球体体积为一万六千四百四十八亿六千六百四十三万七千五百尺。请问物体的直径是多少？
128,今有穿地积一万尺。问︰为坚、壤各几何？,今有穿地积一万尺。问︰为坚、壤各几何？,现在有穿地一万尺，问这个地的坚和壤各有多少？
129,今有城下广四丈，上广二丈，高五丈，袤一百二十六丈五尺。问︰积几何？,今有城下广四丈，上广二丈，高五丈，袤一百二十六丈五尺。问︰积几何？,现在这座城的下边宽是四丈，上宽是二丈，高度是五丈，长是一百二十六丈五尺。问这座城的体积是多少？
130,今有垣下广三尺，上广二尺，高一丈二尺，袤二十二丈五尺八寸。问︰积几何？,今有垣下广三尺，上广二尺，高一丈二尺，袤二十二丈五尺八寸。问︰积几何？,现在有一高为一丈二尺和长二十二丈五尺八寸的垣，它的下边宽是三尺，上边宽是二尺。请问它的体积是多少？
131,今有堤下广二丈，上广八尺，高四尺，袤一十二丈七尺。问︰积几何？冬程人功四百四十四尺。问︰用徒几何？,今有堤下广二丈，上广八尺，高四尺，袤一十二丈七尺。问︰积几何？冬程人功四百四十四尺。问︰用徒几何？,现在有一个下边宽二丈、上边宽八尺、高四尺的堤，堤长十二丈七尺。问这个堤的体积是多少？冬程每人完成四百四十四尺的工程。请问，需要几个人？
132,今有沟上广一丈五尺，下广一丈，深五尺，袤七丈。问︰积几何？春程人功七百六十六尺，并出土功五分之一，定功六百一十二尺、五分尺之四。问︰用徒几何？,今有沟上广一丈五尺，下广一丈，深五尺，袤七丈。问︰积几何？春程人功七百六十六尺，并出土功五分之一，定功六百一十二尺、五分尺之四。问︰用徒几何？,现在有一条沟，上面宽一丈五尺，下面宽一丈，深五尺，长度共七丈。问这条沟的容积是多少？春程每人能完成七百六十六尺，同时出了土功五分之一，定功为六百一十二尺外加五分之四尺。问：需要用多少人？
133,今有堑上广一丈六尺三寸，下广一丈，深六尺三寸，袤一十三丈二尺一寸。问︰积几何？夏程人功八百七十一尺。并出土功五分之一，沙砾水石之功作太半，定功二百三十二尺、一十五分尺之四。问︰用徒几何？,今有堑上广一丈六尺三寸，下广一丈，深六尺三寸，袤一十三丈二尺一寸。问︰积几何？夏程人功八百七十一尺。并出土功五分之一，沙砾水石之功作太半，定功二百三十二尺、一十五分尺之四。问︰用徒几何？,现在有一条沟渠，上宽一丈六尺三寸，下宽一丈，深六尺三寸，长一十三丈二尺一寸。问沟的容积多少？夏程人功八百七十二尺，其中包括五分之一的土功，以及沙砾和水石功太半。最终确定的功长为二百三十二尺外加十五分之四尺。请问，用徒多少？
134,今有穿渠上广一丈八尺，下广三尺六寸，深一丈八尺，袤五万一千八百二十四尺。问︰积几何？秋程人功三百尺，问︰用徒几何？一千人先到，问︰当受袤几何？,今有穿渠上广一丈八尺，下广三尺六寸，深一丈八尺，袤五万一千八百二十四尺。问︰积几何？秋程人功三百尺，问︰用徒几何？一千人先到，问︰当受袤几何？,现在有一条渠道，上宽一丈八尺，下宽三尺六寸，深一丈八尺，渠道长约五万一千八百二十四尺。问这个渠道的容积是多少？秋程人均能完成三百尺，请问这个工程的用徒需要多少？一千人已经先到了，应该分配的长度是多少？
135,今有方堡壔方一丈六尺，高一丈五尺。问︰积几何？,今有方堡壔方一丈六尺，高一丈五尺。问︰积几何？,现在有一个体积为一丈六尺的正方形堡壔，高度为一丈五尺。问这个堡壔的面积是多少？
136,今有圆堡壔，周四丈八尺，高一丈一尺。问︰积几何？,今有圆堡壔，周四丈八尺，高一丈一尺。问︰积几何？,现在有一个圆形的堡垒，周长为四丈八尺，高度为一丈一尺。问这个堡垒的体积是多少？
137,今有方亭，下方五丈，上方四丈，高五丈。问︰积几何？,今有方亭，下方五丈，上方四丈，高五丈。问︰积几何？,现在有一个方形亭子，下面边长五丈，上面边长四丈，高度五丈。问这个亭子的体积是多少？
138,今有圆亭，下周三丈，上周二丈，高一丈。问︰积几何？,今有圆亭，下周三丈，上周二丈，高一丈。问︰积几何？,现在有一个圆形亭子，下圆周长三丈，上圆周长二丈，高一丈。问这个亭子的体积是多少？
139,今有方锥下方二丈七尺，高二丈九尺。问︰积几何？,今有方锥下方二丈七尺，高二丈九尺。问︰积几何？,现在有一个方锥，底部边长为二丈九尺，高为二丈九尺。问这个体积是多少？
140,今有圆锥下周三丈五尺，高五丈一尺。问︰积几何？,今有圆锥下周三丈五尺，高五丈一尺。问︰积几何？,现在有一个圆锥，它的底部周长三丈五尺，高度为五丈一尺。问这个圆锥的体积是多少？
141,今有堑堵下广二丈，袤一十八丈六尺，高二丈五尺。问︰积几何？,今有堑堵下广二丈，袤一十八丈六尺，高二丈五尺。问︰积几何？,现在有一堑堵，渠底宽度为二丈，渠长为十八丈六尺，渠高为二丈五尺。问这个沟渠的容积是多少？
142,今有阳马，广五尺，袤七尺，高八尺。问︰积几何？,今有阳马，广五尺，袤七尺，高八尺。问︰积几何？,现在有一阳马，宽为五尺，长度为七尺，高度为八尺。请问它的体积是多少？
143,今有鳖臑下广五尺，无袤，上袤四尺，无广，高七尺。问︰积几何？,今有鳖臑下广五尺，无袤，上袤四尺，无广，高七尺。问︰积几何？,现在有一鳖臑，其底部宽为五尺，没有长度，上部长度为四尺，没有宽度，高度为七尺。问它的体积是多少？
144,今有羡除，下广六尺，上广一丈，深三尺，末广八尺，无深，袤七尺。问︰积几何？,今有羡除，下广六尺，上广一丈，深三尺，末广八尺，无深，袤七尺。问︰积几何？,现在有一羡除，下宽六尺，上宽一丈，深三尺，末尾宽八尺，没有深，长约七尺。问这个羡的容积是多少？
